item_id,relative_path,caption,clothes_type
id_00000021,id_00000021/WOMEN_Dresses_id_00000021_04_7_additional.jpg,the back view of a woman wearing a dress,3
id_00000021,id_00000021/WOMEN_Dresses_id_00000021_05_1_front.jpg,a woman in a red crochet dress,3
id_00000021,id_00000021/WOMEN_Dresses_id_00000021_05_2_side.jpg,a woman in a red dress posing for a photo,3
id_00000021,id_00000021/WOMEN_Dresses_id_00000021_06_2_side.jpg,a woman in a blue dress is standing,3
id_00000026,id_00000026/WOMEN_Tees_Tanks_id_00000026_05_2_side.jpg,a woman in jeans and a white top,1
id_00000026,id_00000026/WOMEN_Tees_Tanks_id_00000026_05_7_additional.jpg,a woman in a white crop top and ripped jeans,1
id_00000026,id_00000026/WOMEN_Tees_Tanks_id_00000026_06_2_side.jpg,a young woman in a pink top and jeans,1
id_00000026,id_00000026/WOMEN_Tees_Tanks_id_00000026_06_4_full.jpg,a woman in ripped jeans and a pink top,1
id_00000026,id_00000026/WOMEN_Tees_Tanks_id_00000026_06_7_additional.jpg,the back of a woman wearing a pink lace top,1
id_00000026,id_00000026/WOMEN_Tees_Tanks_id_00000026_07_3_back.jpg,the back of a woman wearing a hat and jeans,1
id_00000026,id_00000026/WOMEN_Tees_Tanks_id_00000026_09_1_front.jpg,a woman in jeans and a lace top,1
id_00000026,id_00000026/WOMEN_Tees_Tanks_id_00000026_09_2_side.jpg,a woman in a purple top and ripped jeans,1
id_00000027,id_00000027/WOMEN_Dresses_id_00000027_01_2_side.jpg,a woman in a black dress posing for a photo,3
id_00000027,id_00000027/WOMEN_Dresses_id_00000027_01_3_back.jpg,the back view of a woman wearing a black blouse,3
id_00000027,id_00000027/WOMEN_Dresses_id_00000027_01_4_full.jpg,a woman in a black dress standing against a wall,3
id_00000027,id_00000027/WOMEN_Dresses_id_00000027_01_7_additional.jpg,the black blouse with long sleeves and a tie detail,3
id_00000027,id_00000027/WOMEN_Dresses_id_00000027_02_2_side.jpg,a woman in a white shirt and shorts,3
id_00000028,id_00000028/WOMEN_Blouses_Shirts_id_00000028_01_1_front.jpg,the floral print tank top is white and blue,1
id_00000028,id_00000028/WOMEN_Blouses_Shirts_id_00000028_01_2_side.jpg,a beautiful blonde woman wearing a floral top,1
id_00000029,id_00000029/WOMEN_Pants_id_00000029_04_1_front.jpg,a woman in black sweater and black pants,2
id_00000029,id_00000029/WOMEN_Pants_id_00000029_04_2_side.jpg,a woman in black pants and a black top,2
id_00000029,id_00000029/WOMEN_Pants_id_00000029_04_7_additional.jpg,a woman wearing a black shirt and grey pants,2
id_00000029,id_00000029/WOMEN_Pants_id_00000029_06_3_back.jpg,a woman in blue jeans and black top,2
id_00000031,id_00000031/WOMEN_Blouses_Shirts_id_00000031_02_3_back.jpg,the back of a woman's white top with lace,1
id_00000031,id_00000031/WOMEN_Blouses_Shirts_id_00000031_02_4_full.jpg,a woman wearing a white top and black pants,1
id_00000034,id_00000034/WOMEN_Dresses_id_00000034_02_1_front.jpg,the back view of a woman wearing a red and pink floral print maxi dress,3
id_00000034,id_00000034/WOMEN_Dresses_id_00000034_02_2_side.jpg,a woman in a pink and red dress,3
id_00000035,id_00000035/WOMEN_Dresses_id_00000035_03_2_side.jpg,a woman in a black dress posing for the camera,3
id_00000035,id_00000035/WOMEN_Dresses_id_00000035_04_1_front.jpg,a woman in a gray dress and stockings,3
id_00000035,id_00000035/WOMEN_Dresses_id_00000035_04_7_additional.jpg,the back of a woman in a grey dress,3
id_00000035,id_00000035/WOMEN_Dresses_id_00000035_05_1_front.jpg,the back of a woman in a red dress,3
id_00000035,id_00000035/WOMEN_Dresses_id_00000035_05_2_side.jpg,a woman in a burgundy dress,3
id_00000036,id_00000036/WOMEN_Cardigans_id_00000036_02_1_front.jpg,a woman wearing a black and white cardigan with hearts on it,1
id_00000036,id_00000036/WOMEN_Cardigans_id_00000036_02_2_side.jpg,a woman wearing a black and white heart print cardigan,1
id_00000040,id_00000040/WOMEN_Blouses_Shirts_id_00000040_03_1_front.jpg,a woman wearing a white top and black shorts,1
id_00000040,id_00000040/WOMEN_Blouses_Shirts_id_00000040_03_4_full.jpg,the white blouse has black embroidery on it,1
id_00000042,id_00000042/WOMEN_Dresses_id_00000042_02_1_front.jpg,a woman in a white dress posing for the camera,3
id_00000042,id_00000042/WOMEN_Dresses_id_00000042_02_2_side.jpg,a woman in a white dress posing for the camera,3
id_00000045,id_00000045/MEN_Tees_Tanks_id_00000045_01_1_front.jpg,a man wearing red shorts and a black shirt,1
id_00000045,id_00000045/MEN_Tees_Tanks_id_00000045_01_4_full.jpg,a man wearing a black and red shirt and red shorts,1
id_00000046,id_00000046/WOMEN_Graphic_Tees_id_00000046_01_1_front.jpg,a model wearing a white t - shirt with an image of audrey hepburn,1
id_00000046,id_00000046/WOMEN_Graphic_Tees_id_00000046_01_3_back.jpg,the back view of a woman wearing a white t - shirt,1
id_00000049,id_00000049/MEN_Sweaters_id_00000049_01_1_front.jpg,a man wearing a blue shirt with white stripes,1
id_00000049,id_00000049/MEN_Sweaters_id_00000049_01_3_back.jpg,the back of a man wearing a blue tie dye shirt,1
id_00000050,id_00000050/WOMEN_Rompers_Jumpsuits_id_00000050_02_1_front.jpg,a woman in a floral print jumpsuit,3
id_00000050,id_00000050/WOMEN_Rompers_Jumpsuits_id_00000050_02_7_additional.jpg,the floral print romper is a great way to wear a dress,3
id_00000050,id_00000050/WOMEN_Rompers_Jumpsuits_id_00000050_03_3_back.jpg,the back view of a woman wearing a floral print jumpsuit,3
id_00000052,id_00000052/WOMEN_Pants_id_00000052_03_1_front.jpg,a woman wearing grey sweatpants and black shoes,2
id_00000052,id_00000052/WOMEN_Pants_id_00000052_03_2_side.jpg,a woman wearing a pair of grey leggings,2
id_00000054,id_00000054/WOMEN_Jackets_Coats_id_00000054_01_1_front.jpg,the model wears a black blazer and yellow pants,1
id_00000054,id_00000054/WOMEN_Jackets_Coats_id_00000054_01_3_back.jpg,the back view of a woman wearing a black blazer and yellow pants,1
id_00000055,id_00000055/WOMEN_Denim_id_00000055_04_2_side.jpg,a person is holding a skateboard,2
id_00000055,id_00000055/WOMEN_Denim_id_00000055_04_3_back.jpg,a woman in black jeans and a red shirt,2
id_00000058,id_00000058/WOMEN_Jackets_Coats_id_00000058_02_1_front.jpg,a woman in black jacket and shorts,1
id_00000058,id_00000058/WOMEN_Jackets_Coats_id_00000058_02_2_side.jpg,a woman in black cardigan and shorts,1
id_00000063,id_00000063/MEN_Pants_id_00000063_02_1_front.jpg,a man with tattoos wearing a white t - shirt and grey sweatpants,2
id_00000063,id_00000063/MEN_Pants_id_00000063_02_3_back.jpg,the back view of a man wearing grey sweatpants,2
id_00000065,id_00000065/WOMEN_Blouses_Shirts_id_00000065_02_1_front.jpg,a woman in a white and black checkered jumpsuit,1
id_00000065,id_00000065/WOMEN_Pants_id_00000065_02_1_front.jpg,a woman in a white and black checkered jumpsuit,2
id_00000065,id_00000065/WOMEN_Pants_id_00000065_02_2_side.jpg,a woman in a white and black checkered shirt and shorts,2
id_00000072,id_00000072/WOMEN_Blouses_Shirts_id_00000072_01_1_front.jpg,the model wears a navy and yellow floral print top,1
id_00000072,id_00000072/WOMEN_Blouses_Shirts_id_00000072_01_3_back.jpg,the back view of a woman wearing a floral print top,1
id_00000073,id_00000073/WOMEN_Dresses_id_00000073_02_2_side.jpg,a woman in a red and black dress,3
id_00000073,id_00000073/WOMEN_Dresses_id_00000073_02_3_back.jpg,a woman in a red and black dress,3
id_00000074,id_00000074/WOMEN_Dresses_id_00000074_03_1_front.jpg,a woman in a black dress posing for a photo,3
id_00000074,id_00000074/WOMEN_Dresses_id_00000074_03_3_back.jpg,the back view of a woman wearing a black dress,3
id_00000074,id_00000074/WOMEN_Dresses_id_00000074_03_7_additional.jpg,a woman in a black dress posing for a photo,3
id_00000076,id_00000076/WOMEN_Rompers_Jumpsuits_id_00000076_01_1_front.jpg,a woman in a printed romper,3
id_00000077,id_00000077/WOMEN_Rompers_Jumpsuits_id_00000077_02_2_side.jpg,a beautiful young woman in a floral dress,3
id_00000079,id_00000079/WOMEN_Tees_Tanks_id_00000079_04_1_front.jpg,a woman in a black bodysuit,1
id_00000079,id_00000079/WOMEN_Tees_Tanks_id_00000079_04_2_side.jpg,a woman in a black top and white jeans,1
id_00000079,id_00000079/WOMEN_Tees_Tanks_id_00000079_04_4_full.jpg,a woman in a black bodysuit,1
id_00000079,id_00000079/WOMEN_Tees_Tanks_id_00000079_04_7_additional.jpg,a woman in black mesh top and white shorts,1
id_00000079,id_00000079/WOMEN_Tees_Tanks_id_00000079_05_1_front.jpg,a woman in a red bodysuit,1
id_00000079,id_00000079/WOMEN_Tees_Tanks_id_00000079_05_4_full.jpg,a woman in a red bodysuit,1
id_00000079,id_00000079/WOMEN_Tees_Tanks_id_00000079_08_2_side.jpg,a woman in a black bra top and jeans,1
id_00000079,id_00000079/WOMEN_Tees_Tanks_id_00000079_08_4_full.jpg,a woman in a black bodysuit posing for the camera,1
id_00000079,id_00000079/WOMEN_Tees_Tanks_id_00000079_09_2_side.jpg,a woman in a red and black dress,1
id_00000083,id_00000083/WOMEN_Dresses_id_00000083_02_1_front.jpg,a woman in a short dress with a patterned pattern,3
id_00000084,id_00000084/MEN_Jackets_Vests_id_00000084_04_1_front.jpg,the white and black hoodie jacket is worn by a man,1
id_00000084,id_00000084/MEN_Jackets_Vests_id_00000084_05_2_side.jpg,a man in a hoodie and jeans poses for a photo,1
id_00000084,id_00000084/MEN_Jackets_Vests_id_00000084_05_3_back.jpg,the back view of a man wearing a navy and green hoodie,1
id_00000084,id_00000084/MEN_Jackets_Vests_id_00000084_05_7_additional.jpg,a man in a hoodie and jeans poses for a photo,1
id_00000084,id_00000084/MEN_Jackets_Vests_id_00000084_07_1_front.jpg,a man wearing a red and black hoodie,1
id_00000084,id_00000084/MEN_Jackets_Vests_id_00000084_07_2_side.jpg,a man wearing a red shirt,1
id_00000084,id_00000084/MEN_Jackets_Vests_id_00000084_07_7_additional.jpg,a man in a red and black jacket,1
id_00000084,id_00000084/MEN_Jackets_Vests_id_00000084_08_2_side.jpg,a man in a black and white sweater is kissing a woman,1
id_00000087,id_00000087/WOMEN_Dresses_id_00000087_02_1_front.jpg,the model wears a mint green dress,3
id_00000087,id_00000087/WOMEN_Dresses_id_00000087_02_3_back.jpg,a young girl in a mint green dress,3
id_00000088,id_00000088/WOMEN_Dresses_id_00000088_02_1_front.jpg,a woman in a red dress posing for the camera,3
id_00000088,id_00000088/WOMEN_Dresses_id_00000088_02_3_back.jpg,a woman in a red dress is posing,3
id_00000092,id_00000092/WOMEN_Dresses_id_00000092_01_1_front.jpg,a woman in a black and white dress,3
id_00000093,id_00000093/WOMEN_Blouses_Shirts_id_00000093_01_1_front.jpg,the white top with floral print is a great way to wear,1
id_00000093,id_00000093/WOMEN_Blouses_Shirts_id_00000093_01_2_side.jpg,a woman wearing a floral top and jeans,1
id_00000094,id_00000094/MEN_Jackets_Vests_id_00000094_01_2_side.jpg,a man in a suit and tie standing up,1
id_00000094,id_00000094/MEN_Jackets_Vests_id_00000094_02_2_side.jpg,a man in a suit is standing up,1
id_00000094,id_00000094/MEN_Jackets_Vests_id_00000094_02_3_back.jpg,the back view of a man in a suit,1
id_00000094,id_00000094/MEN_Jackets_Vests_id_00000094_04_2_side.jpg,a man in a suit and tie standing in front of a white background,1
id_00000094,id_00000094/MEN_Jackets_Vests_id_00000094_04_3_back.jpg,the back view of a man in a suit,1
id_00000094,id_00000094/MEN_Jackets_Vests_id_00000094_04_7_additional.jpg,a man in a black suit and white shirt,1
id_00000096,id_00000096/WOMEN_Dresses_id_00000096_02_1_front.jpg,a woman in a black and white dress,3
id_00000096,id_00000096/WOMEN_Dresses_id_00000096_02_4_full.jpg,a woman in a black and white dress,3
id_00000098,id_00000098/WOMEN_Sweaters_id_00000098_02_3_back.jpg,a woman in a knitted sweater and boots,1
id_00000098,id_00000098/WOMEN_Sweaters_id_00000098_02_4_full.jpg,the model is wearing a black and white striped cardigan,1
id_00000099,id_00000099/WOMEN_Tees_Tanks_id_00000099_05_2_side.jpg,a woman in a striped top and jeans,1
id_00000099,id_00000099/WOMEN_Tees_Tanks_id_00000099_05_7_additional.jpg,a woman in jeans and a white cardigan,1
id_00000099,id_00000099/WOMEN_Tees_Tanks_id_00000099_06_1_front.jpg,a woman in a striped top and black jeans,1
id_00000099,id_00000099/WOMEN_Tees_Tanks_id_00000099_06_2_side.jpg,a woman in a striped top and jeans,1
id_00000099,id_00000099/WOMEN_Tees_Tanks_id_00000099_06_3_back.jpg,the back of a woman wearing a striped top,1
id_00000099,id_00000099/WOMEN_Tees_Tanks_id_00000099_06_7_additional.jpg,a woman in a striped shirt and jeans,1
id_00000100,id_00000100/MEN_Tees_Tanks_id_00000100_01_1_front.jpg,the man is wearing a white t - shirt with a bird print,1
id_00000100,id_00000100/MEN_Tees_Tanks_id_00000100_01_4_full.jpg,a man wearing a white t - shirt with a floral pattern,1
id_00000102,id_00000102/WOMEN_Tees_Tanks_id_00000102_03_2_side.jpg,the top is made from black pleated material,1
id_00000102,id_00000102/WOMEN_Tees_Tanks_id_00000102_03_4_full.jpg,the sleeveless top is made from a striped fabric,1
id_00000102,id_00000102/WOMEN_Tees_Tanks_id_00000102_03_7_additional.jpg,the top is made from a sheer mesh and has a sheer neckline,1
id_00000102,id_00000102/WOMEN_Tees_Tanks_id_00000102_04_1_front.jpg,the top is yellow and has a pleated neckline,1
id_00000103,id_00000103/WOMEN_Shorts_id_00000103_01_2_side.jpg,a woman wearing a short skirt and a belt,2
id_00000103,id_00000103/WOMEN_Shorts_id_00000103_01_7_additional.jpg,a woman wearing khaki shorts and a striped shirt,2
id_00000103,id_00000103/WOMEN_Shorts_id_00000103_02_1_front.jpg,a woman wearing white pants and a striped shirt,2
id_00000103,id_00000103/WOMEN_Shorts_id_00000103_02_3_back.jpg,the white shorts are made from cotton and have a belt,2
id_00000103,id_00000103/WOMEN_Shorts_id_00000103_03_1_front.jpg,a woman wearing an orange shorts and striped shirt,2
id_00000103,id_00000103/WOMEN_Shorts_id_00000103_03_2_side.jpg,a woman wearing an orange shorts and a striped shirt,2
id_00000103,id_00000103/WOMEN_Shorts_id_00000103_03_7_additional.jpg,a woman wearing orange shorts and a striped shirt,2
id_00000103,id_00000103/WOMEN_Shorts_id_00000103_04_1_front.jpg,a woman in pink shorts and a striped shirt,2
id_00000103,id_00000103/WOMEN_Shorts_id_00000103_04_2_side.jpg,a woman in pink shorts and a striped shirt,2
id_00000103,id_00000103/WOMEN_Shorts_id_00000103_05_1_front.jpg,a woman wearing a green shorts and white shirt,2
id_00000105,id_00000105/WOMEN_Pants_id_00000105_02_1_front.jpg,a woman in black and white pants and a top,2
id_00000105,id_00000105/WOMEN_Pants_id_00000105_02_3_back.jpg,the back view of a woman wearing black and white pants,2
id_00000106,id_00000106/WOMEN_Dresses_id_00000106_03_2_side.jpg,a young woman in a short dress standing against a wall,3
id_00000106,id_00000106/WOMEN_Dresses_id_00000106_03_3_back.jpg,the model wears a dress with a chevron pattern,3
id_00000108,id_00000108/WOMEN_Blouses_Shirts_id_00000108_03_1_front.jpg,a woman in a pink top and black skirt,1
id_00000108,id_00000108/WOMEN_Blouses_Shirts_id_00000108_03_2_side.jpg,a woman in a pink top and black pants,1
id_00000108,id_00000108/WOMEN_Blouses_Shirts_id_00000108_03_7_additional.jpg,a woman in a pink top and black pants,1
id_00000108,id_00000108/WOMEN_Blouses_Shirts_id_00000108_04_2_side.jpg,a woman in jeans and a top is posing,1
id_00000113,id_00000113/WOMEN_Tees_Tanks_id_00000113_01_1_front.jpg,the new york life tee shirt is white and has the words new york life on it,1
id_00000113,id_00000113/WOMEN_Tees_Tanks_id_00000113_01_2_side.jpg,a woman in a white shirt and black pants,1
id_00000119,id_00000119/WOMEN_Cardigans_id_00000119_02_2_side.jpg,a woman wearing a white crochet vest,1
id_00000119,id_00000119/WOMEN_Cardigans_id_00000119_02_3_back.jpg,the back view of a woman wearing a crochet vest,1
id_00000119,id_00000119/WOMEN_Cardigans_id_00000119_02_7_additional.jpg,the crochet vest is made from white yarn,1
id_00000119,id_00000119/WOMEN_Cardigans_id_00000119_03_1_front.jpg,a woman wearing a red crocheted vest,1
id_00000119,id_00000119/WOMEN_Cardigans_id_00000119_03_2_side.jpg,a woman wearing a red crocheted vest,1
id_00000122,id_00000122/MEN_Tees_Tanks_id_00000122_01_1_front.jpg,a man wearing a gray t - shirt with blue and red stripes,1
id_00000122,id_00000122/MEN_Tees_Tanks_id_00000122_01_2_side.jpg,a man with tattoos wearing a t - shirt,1
id_00000125,id_00000125/WOMEN_Sweaters_id_00000125_01_1_front.jpg,the sweater is white and black with black stripes,1
id_00000125,id_00000125/WOMEN_Sweaters_id_00000125_01_2_side.jpg,the sweater is white and black with black stripes,1
id_00000125,id_00000125/WOMEN_Sweaters_id_00000125_01_3_back.jpg,the back view of a woman wearing a white sweater with black and white stripes,1
id_00000125,id_00000125/WOMEN_Sweaters_id_00000125_02_3_back.jpg,the back view of a woman wearing a grey and white striped sweater,1
id_00000128,id_00000128/WOMEN_Shorts_id_00000128_01_2_side.jpg,a woman wearing a black and white skirt with a necklace,2
id_00000128,id_00000128/WOMEN_Shorts_id_00000128_01_3_back.jpg,the shorts are black and white with geometric patterns,2
id_00000131,id_00000131/WOMEN_Blouses_Shirts_id_00000131_02_1_front.jpg,the white blouse is worn with brown leather pants,1
id_00000131,id_00000131/WOMEN_Blouses_Shirts_id_00000131_02_4_full.jpg,the white blouse is worn with tan pants,1
id_00000133,id_00000133/WOMEN_Tees_Tanks_id_00000133_01_1_front.jpg,the striped top is made from a cotton and linen blend,1
id_00000133,id_00000133/WOMEN_Tees_Tanks_id_00000133_01_4_full.jpg,a woman in a striped shirt and blue jeans,1
id_00000133,id_00000133/WOMEN_Tees_Tanks_id_00000133_02_1_front.jpg,the striped top is made from cotton and has a short sleeve,1
id_00000133,id_00000133/WOMEN_Tees_Tanks_id_00000133_02_3_back.jpg,the back of a woman wearing a striped top,1
id_00000135,id_00000135/WOMEN_Tees_Tanks_id_00000135_05_1_front.jpg,a woman wearing a crop top and jeans,1
id_00000135,id_00000135/WOMEN_Tees_Tanks_id_00000135_05_3_back.jpg,the back of a woman wearing a black tank top,1
id_00000135,id_00000135/WOMEN_Tees_Tanks_id_00000135_05_4_full.jpg,a woman wearing a crop top and shorts,1
id_00000135,id_00000135/WOMEN_Tees_Tanks_id_00000135_06_1_front.jpg,a woman in a white top and jeans,1
id_00000135,id_00000135/WOMEN_Tees_Tanks_id_00000135_06_4_full.jpg,a woman wearing a white tank top and blue jeans,1
id_00000135,id_00000135/WOMEN_Tees_Tanks_id_00000135_07_2_side.jpg,a woman in a pink top and skirt,1
id_00000135,id_00000135/WOMEN_Tees_Tanks_id_00000135_07_3_back.jpg,the back of a woman wearing a pink tank top,1
id_00000135,id_00000135/WOMEN_Tees_Tanks_id_00000135_07_7_additional.jpg,a woman wearing a pink crop top and jeans,1
id_00000138,id_00000138/WOMEN_Graphic_Tees_id_00000138_01_1_front.jpg,"a woman wearing a black shirt with the words, rewet right",1
id_00000138,id_00000138/WOMEN_Graphic_Tees_id_00000138_01_4_full.jpg,between the lines graphic tee,1
id_00000139,id_00000139/WOMEN_Sweatshirts_Hoodies_id_00000139_02_3_back.jpg,a girl in a white shirt and red plaid skirt,1
id_00000139,id_00000139/WOMEN_Sweatshirts_Hoodies_id_00000139_02_4_full.jpg,a woman wearing a white sweater and red plaid skirt,1
id_00000140,id_00000140/WOMEN_Tees_Tanks_id_00000140_02_1_front.jpg,a woman wearing a leopard print crop top and skirt,1
id_00000140,id_00000140/WOMEN_Tees_Tanks_id_00000140_02_3_back.jpg,the back view of a woman wearing a leopard print crop top,1
id_00000140,id_00000140/WOMEN_Tees_Tanks_id_00000140_02_6_flat.jpg,meow meow meow leopard crop top,1
id_00000144,id_00000144/WOMEN_Shorts_id_00000144_01_1_front.jpg,a woman wearing a tank top and black pants,2
id_00000144,id_00000144/WOMEN_Shorts_id_00000144_01_3_back.jpg,the back view of a woman wearing black shorts,2
id_00000144,id_00000144/WOMEN_Shorts_id_00000144_01_7_additional.jpg,a woman in black shorts and a bra top,2
id_00000144,id_00000144/WOMEN_Shorts_id_00000144_02_2_side.jpg,a woman wearing shorts in olive green,2
id_00000144,id_00000144/WOMEN_Shorts_id_00000144_02_4_full.jpg,a woman wearing shorts and a top,2
id_00000144,id_00000144/WOMEN_Shorts_id_00000144_03_2_side.jpg,a woman wearing blue shorts and a top,2
id_00000144,id_00000144/WOMEN_Shorts_id_00000144_03_4_full.jpg,a woman wearing blue shorts and a top,2
id_00000145,id_00000145/MEN_Sweaters_id_00000145_01_2_side.jpg,a boy wearing a blue and black striped shirt,1
id_00000145,id_00000145/MEN_Sweaters_id_00000145_01_3_back.jpg,the back of a man wearing a tie dye shirt,1
id_00000146,id_00000146/MEN_Sweatshirts_Hoodies_id_00000146_02_1_front.jpg,a man wearing a black sweatshirt with mickey mouse on it,1
id_00000146,id_00000146/MEN_Sweatshirts_Hoodies_id_00000146_02_3_back.jpg,the back of a man wearing a black sweatshirt and red pants,1
id_00000147,id_00000147/WOMEN_Leggings_id_00000147_01_1_front.jpg,a woman in jeans and a sweater,2
id_00000147,id_00000147/WOMEN_Leggings_id_00000147_01_2_side.jpg,a woman in jeans is standing in front of a mirror,2
id_00000148,id_00000148/WOMEN_Shorts_id_00000148_02_2_side.jpg,a woman wearing a white top and red skirt,2
id_00000148,id_00000148/WOMEN_Shorts_id_00000148_02_3_back.jpg,the back view of a woman wearing a red and black patterned shorts,2
id_00000148,id_00000148/WOMEN_Shorts_id_00000148_02_7_additional.jpg,the skirt is red and has a patterned design,2
id_00000148,id_00000148/WOMEN_Shorts_id_00000148_03_2_side.jpg,a woman wearing a white top and blue shorts,2
id_00000151,id_00000151/WOMEN_Sweaters_id_00000151_04_1_front.jpg,the women's sweatshirt in blue,1
id_00000151,id_00000151/WOMEN_Sweaters_id_00000151_04_3_back.jpg,the back view of a woman wearing a blue sweatshirt,1
id_00000155,id_00000155/WOMEN_Blouses_Shirts_id_00000155_01_2_side.jpg,a woman wearing a black leather crop top,1
id_00000159,id_00000159/WOMEN_Tees_Tanks_id_00000159_04_2_side.jpg,a young girl in a pink shirt and jeans,1
id_00000159,id_00000159/WOMEN_Tees_Tanks_id_00000159_05_1_front.jpg,a woman in a neon yellow shirt and jeans,1
id_00000159,id_00000159/WOMEN_Tees_Tanks_id_00000159_05_2_side.jpg,a woman in a yellow shirt and jeans,1
id_00000159,id_00000159/WOMEN_Tees_Tanks_id_00000159_05_3_back.jpg,a woman in a neon green shirt and denim shorts,1
id_00000159,id_00000159/WOMEN_Tees_Tanks_id_00000159_05_4_full.jpg,a woman in a neon yellow top and jeans,1
id_00000159,id_00000159/WOMEN_Tees_Tanks_id_00000159_06_1_front.jpg,a woman in a pink shirt and jeans,1
id_00000161,id_00000161/MEN_Tees_Tanks_id_00000161_01_1_front.jpg,miami heat men's baseball tee,1
id_00000161,id_00000161/MEN_Tees_Tanks_id_00000161_01_3_back.jpg,the back of a man wearing a grey and red baseball shirt,1
id_00000161,id_00000161/MEN_Tees_Tanks_id_00000161_01_6_flat.jpg,miami heat baseball tee,1
id_00000167,id_00000167/MEN_Shirts_Polos_id_00000167_01_1_front.jpg,the white and black shirt is worn with black pants,1
id_00000167,id_00000167/MEN_Shirts_Polos_id_00000167_01_4_full.jpg,a man in a white shirt and black pants,1
id_00000169,id_00000169/WOMEN_Dresses_id_00000169_04_2_side.jpg,a woman in a short dress and sandals,3
id_00000169,id_00000169/WOMEN_Dresses_id_00000169_04_4_full.jpg,a woman in a floral dress and black bag,3
id_00000171,id_00000171/WOMEN_Blouses_Shirts_id_00000171_01_3_back.jpg,the back view of a woman wearing a pink top with an open back,1
id_00000171,id_00000171/WOMEN_Blouses_Shirts_id_00000171_01_4_full.jpg,a woman wearing a pink top with lace,1
id_00000172,id_00000172/WOMEN_Blouses_Shirts_id_00000172_03_1_front.jpg,a woman wearing a blue top and white shorts,1
id_00000172,id_00000172/WOMEN_Blouses_Shirts_id_00000172_03_2_side.jpg,a young girl in a blue top and white pants,1
id_00000173,id_00000173/WOMEN_Dresses_id_00000173_02_3_back.jpg,the back view of a woman wearing a black and white dress,3
id_00000173,id_00000173/WOMEN_Dresses_id_00000173_02_4_full.jpg,a woman in a black and white dress and jacket,3
id_00000175,id_00000175/WOMEN_Tees_Tanks_id_00000175_01_2_side.jpg,a young girl wearing a white tank top and blue jeans,1
id_00000175,id_00000175/WOMEN_Tees_Tanks_id_00000175_01_3_back.jpg,the back of a woman wearing a white tank top,1
id_00000176,id_00000176/WOMEN_Shorts_id_00000176_01_1_front.jpg,a woman wearing black shorts and a white top,2
id_00000176,id_00000176/WOMEN_Shorts_id_00000176_01_2_side.jpg,a woman's black shorts with a zipper,2
id_00000177,id_00000177/WOMEN_Sweatshirts_Hoodies_id_00000177_01_2_side.jpg,a woman wearing a white sweatshirt with the words love is all,1
id_00000177,id_00000177/WOMEN_Sweatshirts_Hoodies_id_00000177_01_3_back.jpg,a woman in a white shirt and black shorts,1
id_00000181,id_00000181/WOMEN_Blouses_Shirts_id_00000181_03_3_back.jpg,the back view of a woman wearing a black dress,3
id_00000181,id_00000181/WOMEN_Jackets_Coats_id_00000181_03_7_additional.jpg,a woman in black top and shorts,1
